model,member,epoch,tr_loss_total,tr_loss_H,tr_loss_RoCoF,tr_loss_D,tr_loss_swing,tr_loss_smooth,vl_loss_total,vl_loss_H,vl_loss_RoCoF,vl_loss_D,vl_loss_swing,vl_loss_smooth
pinn,0,1,0.7498473426917704,0.19181474330040013,0.15493804134610223,0.9417854918212425,4.374315613393087e-05,0.9670834170608986,0.3889978878638324,0.011044148930951077,0.004050165770904106,0.7513066705535439,8.219596151427729e-07,0.027532108401989237
pinn,0,2,0.44109752556172815,0.03581950688598359,0.02477567366937675,0.7829830617439456,4.962344876996834e-06,0.13981548296969112,0.3793766340788673,0.007956223767798613,0.0010054259020013407,0.7414112932541791,2.1957308483840334e-07,0.02120308095917982
pinn,0,3,0.4133264415147828,0.018769174836939427,0.011463819196584022,0.7762311711543943,2.2654515502348127e-06,0.07093188661809374,0.37647731689845815,0.006056252120555762,0.0006182356754673974,0.7398735039374408,1.4490248352839283e-07,0.017516563646495342
pinn,0,4,0.4044722976481042,0.013218119990353177,0.007090818914925543,0.7743947978426771,1.3880863431905909e-06,0.051095482825142584,0.3743288534529069,0.004373024313655847,0.00047669149353168905,0.7391418358858894,1.25359985294354e-07,0.014653142349904074
pinn,0,5,0.39970918072433004,0.01019222357469361,0.00490579359437816,0.7733143320897731,9.636569760049297e-07,0.040650942885294195,0.3735664294046514,0.0038741297252914485,0.00037347241339054615,0.7387231553302092,1.0088300223956406e-07,0.014394373591879712
pinn,0,6,0.3970037059086125,0.008398182729895159,0.003648092782851763,0.7728665136709446,7.127543655337277e-07,0.034786358180387715,0.3729749637491563,0.003448891973889926,0.00032435040253296713,0.7384572695283329,8.621995520156013e-08,0.013522155500729294
pinn,0,7,0.3951233338292052,0.007135762980707535,0.0028565470015675556,0.7725013509029295,5.554969983838263e-07,0.03082884861746939,0.3721361458301544,0.002765205825733788,0.0002539308663793182,0.7382406136568855,6.795766229488971e-08,0.012363057200084715
pinn,0,8,0.39350976740441673,0.006150311818800685,0.002307942614141034,0.7718573961316085,4.521549828534883e-07,0.027646895520752522,0.37224610938745384,0.0029259889338658575,0.00024914401343694944,0.73813695416731,6.69875254874007e-08,0.012702153160181992
pinn,0,9,0.39249637504903284,0.00543191779700176,0.0019205090016262923,0.771702147838546,3.7704392167786244e-07,0.02528297764862456,0.3716229884063496,0.00235501241610002,0.00017331866718664328,0.7381216042182025,4.871942149055913e-08,0.012047820861506112
pinn,0,10,0.3916222998281805,0.004861355628591121,0.001642060911896207,0.7714107523604137,3.2016857830523983e-07,0.02342498136638868,0.37168212673243356,0.0025022217373856727,0.00015151844127103686,0.7379705695544972,4.302244019861652e-08,0.011883153347298503
pinn,0,11,0.3910773636364355,0.004392792783086983,0.001401876492664309,0.7715299798221122,2.763987839255317e-07,0.02183663529321188,0.37163226394092336,0.0023999541470616616,0.00018982083223390337,0.7380452822236454,5.490885236688026e-08,0.011470731560086064
pinn,0,12,0.3906332636024894,0.004006875511372417,0.001231580127950576,0.7716100026921529,2.4151068466502827e-07,0.02053526461851306,0.37224431774195504,0.003135597751037601,0.00015232616330168266,0.7378313646597021,4.1357477651699276e-08,0.011683538562946898
pinn,0,13,0.39009399639397135,0.0036707204119188755,0.001077149634067787,0.7713796096604045,2.1148520679949663e-07,0.019468608789327668,0.37208015778485465,0.0029963825158227015,0.0001273171484867549,0.7378111201174119,3.193552779086584e-08,0.01145180532544413
pinn,0,14,0.389586082318934,0.003399405074760136,0.0009599763895782483,0.7710442492147771,1.8905904726846242e-07,0.01843783065176955,0.3722401822314543,0.003047192277496352,0.00012797431062448167,0.7380326565574197,3.305356960685699e-08,0.011264387757846099
pinn,0,15,0.38930398952670214,0.0031776337219947357,0.0008571941686635156,0.7710394139696912,1.6912130007540327e-07,0.017788287467981983,0.37225256947910085,0.0031562825829228934,0.00011122879817883265,0.7378516302389257,3.0601433648518434e-08,0.011482438093106099
pinn,0,16,0.38891267849177846,0.0029556342803804974,0.0007740522176879118,0.7707976531691667,1.5335680987435607e-07,0.017103856474888032,0.37242573499679565,0.003273307585486156,0.00010050066510516713,0.7379708956269657,2.5796032708606563e-08,0.011670020614367197
pinn,0,17,0.38881092282330115,0.0027898633966176975,0.0007041673873062813,0.7710042057967768,1.3901102257372392e-07,0.016673041541674514,0.37248383374775157,0.003342764130245675,0.00010140922934036044,0.7379507843185874,2.4578306239926164e-08,0.011494351153755012
