model,member,epoch,lr,tr_loss_total,tr_loss_traj,tr_loss_phys,tr_loss_data,vl_loss_total,vl_loss_traj,vl_loss_phys,vl_loss_data
swing_pinn,0,1,5e-05,7.559343873985997e-05,2.3393990553946733e-05,0.00521994491743787,0.0,4.372553747897554e-05,1.9523620923994007e-05,0.002420191769488156,0.0
swing_pinn,0,2,5e-05,4.1179698533463725e-05,1.750398593973908e-05,0.0023675712915818864,0.0,2.56293118986327e-05,1.3431943090027846e-05,0.0012197369166339438,0.0
swing_pinn,0,3,5e-05,3.0196839228354782e-05,1.4354409802585795e-05,0.0015842429896044295,0.0,1.941329285020604e-05,1.1077263126127138e-05,0.000833602990799894,0.0
swing_pinn,0,4,5e-05,2.6068311055452085e-05,1.316804053469862e-05,0.0012900270635216701,0.0,1.5516534100849338e-05,9.29290515867049e-06,0.0006223629299913429,0.0
swing_pinn,0,5,5e-05,2.2956520097511935e-05,1.2156371889343463e-05,0.0010800148536473876,0.0,1.3353340566229437e-05,8.305565340075797e-06,0.0005047775306997614,0.0
swing_pinn,0,6,5e-05,2.068120858627769e-05,1.1640788992425347e-05,0.0009040419756230422,0.0,1.2010217283710113e-05,7.576079396029753e-06,0.0004434137889701459,0.0
swing_pinn,0,7,5e-05,1.9227301935443835e-05,1.0865626857749458e-05,0.000836167518594643,0.0,1.1087088751082774e-05,7.013079741429667e-06,0.00040740090965603787,0.0
swing_pinn,0,8,5e-05,1.8107338668991493e-05,1.0528352792856067e-05,0.0007578986143216309,0.0,1.049950889056264e-05,6.481697305894664e-06,0.0004017811572541379,0.0
swing_pinn,0,9,5e-05,1.6858528286364873e-05,9.863016380333603e-06,0.0006995512053325046,0.0,9.82851340975483e-06,6.064790341042681e-06,0.0003763723103070839,0.0
swing_pinn,0,10,5e-05,1.577962078643883e-05,9.4640323457098e-06,0.0006315588678528623,0.0,9.024003096177088e-06,5.6464371785599115e-06,0.0003377566075262924,0.0
swing_pinn,0,11,5e-05,1.532967665453481e-05,9.038604708266354e-06,0.0006291072179631489,0.0,8.784949487663754e-06,5.206751110462291e-06,0.00035781984398555424,0.0
swing_pinn,0,12,5e-05,1.4309620271932346e-05,8.472980980292138e-06,0.0005836639540531196,0.0,8.31236027604771e-06,4.889641281301414e-06,0.00034227189866618975,0.0
swing_pinn,0,13,5e-05,1.3658062349216978e-05,8.074497012474727e-06,0.0005583565578534744,0.0,7.998214843812295e-06,4.545722377871344e-06,0.000345249256093262,0.0
swing_pinn,0,14,5e-05,1.321591252035876e-05,7.925948044963085e-06,0.0005289964497134816,0.0,7.4248985887000645e-06,4.2504208421531885e-06,0.00031744778647811874,0.0
swing_pinn,0,15,5e-05,1.2498589878704501e-05,7.384916044407518e-06,0.0005113673964288177,0.0,7.1833291662591764e-06,3.956561335548435e-06,0.0003226768037873424,0.0
swing_pinn,0,16,5e-05,1.238836877036658e-05,7.1714692395045595e-06,0.0005216899664402463,0.0,7.0202804130935365e-06,3.6777486608722634e-06,0.00033425317249364324,0.0
swing_pinn,0,17,5e-05,1.1576074140931468e-05,6.767943532173465e-06,0.0004808130693939946,0.0,6.490924786501435e-06,3.4091995328506327e-06,0.0003081725379969511,0.0
swing_pinn,0,18,5e-05,1.1058744659261188e-05,6.4662576178528895e-06,0.00045924871044074437,0.0,6.143837254057871e-06,3.1589970856455493e-06,0.0002984840215908156,0.0
swing_pinn,0,19,5e-05,1.0538735140715556e-05,6.010483968743867e-06,0.00045282513019628823,0.0,5.82801400620762e-06,2.9096583299785075e-06,0.0002918355748988688,0.0
swing_pinn,0,20,5e-05,1.0059055101719867e-05,5.710207904307825e-06,0.00043488473620084,0.0,5.72053411613322e-06,2.6920352967054996e-06,0.00030284988719763025,0.0
swing_pinn,0,21,5e-05,9.666775728940747e-06,5.432322900671308e-06,0.00042344529036909525,0.0,5.691926617146237e-06,2.5011173521407827e-06,0.00031908092852164473,0.0
swing_pinn,0,22,5e-05,9.503475622495455e-06,4.970804866388789e-06,0.0004532670867686137,0.0,5.544424463247803e-06,2.3309830036547887e-06,0.00032134415879328217,0.0
swing_pinn,0,23,5e-05,8.875032219249277e-06,4.8821794380051955e-06,0.00039928528997002215,0.0,5.09373750092992e-06,2.1872422672054704e-06,0.00029064952589881915,0.0
swing_pinn,0,24,5e-05,8.664149102448237e-06,4.529678790277103e-06,0.00041344704918517937,0.0,5.201468815761877e-06,2.065214327255186e-06,0.0003136254543076373,0.0
swing_pinn,0,25,5e-05,8.637707507171776e-06,4.536146406746589e-06,0.0004101561122607985,0.0,4.907738002657425e-06,1.9390276596216913e-06,0.0002968710258654836,0.0
swing_pinn,0,26,5e-05,8.30901296090238e-06,4.4356429054637485e-06,0.00038733702683934896,0.0,4.969199178756551e-06,1.8237504946228e-06,0.00031454487988311384,0.0
swing_pinn,0,27,5e-05,8.059610214642329e-06,4.178389162472918e-06,0.0003881221126038127,0.0,4.662931435935509e-06,1.7284643263337784e-06,0.00029344672738160525,0.0
swing_pinn,0,28,5e-05,7.688224597098647e-06,4.051182170259403e-06,0.0003637042529767425,0.0,4.309563589938787e-06,1.646463766115226e-06,0.00026630998925409384,0.0
swing_pinn,0,29,5e-05,7.3401489516538455e-06,3.8105464704485933e-06,0.00035296025311165466,0.0,4.420925557092738e-06,1.568846717721802e-06,0.00028520788247179653,0.0
swing_pinn,0,30,5e-05,7.116904759264221e-06,3.5288286953135225e-06,0.0003588076186843398,0.0,4.235528245367783e-06,1.4950453153990868e-06,0.0002740483032539487,0.0
swing_pinn,0,31,5e-05,6.879487445098121e-06,3.3169644278287463e-06,0.0003562523108884329,0.0,4.308984443923691e-06,1.4302979202006504e-06,0.00028786865489867824,0.0
swing_pinn,0,32,5e-05,6.82591973777673e-06,3.3183600862685125e-06,0.00035075597939217783,0.0,4.136080204059706e-06,1.3724698470064645e-06,0.000276361042374952,0.0
swing_pinn,0,33,5e-05,6.577163442604459e-06,3.314594209768984e-06,0.0003262569293061771,0.0,3.9630873642535234e-06,1.31732612216082e-06,0.0002645761350221518,0.0
swing_pinn,0,34,5e-05,6.520121509887892e-06,3.3290453707306327e-06,0.0003191076230439471,0.0,3.893724523449136e-06,1.2727718841334636e-06,0.0002620952695401178,0.0
swing_pinn,0,35,5e-05,6.14631435160934e-06,2.984535992653968e-06,0.0003161778461994467,0.0,3.718426670376276e-06,1.232565927643413e-06,0.00024858609119999327,0.0
swing_pinn,0,36,5e-05,6.171118379492461e-06,3.1300677835865716e-06,0.0003041050623301644,0.0,3.740009383869215e-06,1.1967316595473676e-06,0.0002543277773333506,0.0
swing_pinn,0,37,5e-05,5.886643853822224e-06,2.9087176721432336e-06,0.0002977926264198997,0.0,3.6248176103173237e-06,1.1658377161438693e-06,0.00024589799674383056,0.0
swing_pinn,0,38,5e-05,5.7569148827119865e-06,2.878498130152499e-06,0.0002878416842843474,0.0,3.454615933959657e-06,1.1389281806057422e-06,0.00023156878079235967,0.0
swing_pinn,0,39,5e-05,5.568803866170616e-06,2.7650758583393594e-06,0.00028037281086520726,0.0,3.4821640989927496e-06,1.1143171529208e-06,0.00023678470299475722,0.0
swing_pinn,0,40,5e-05,5.504920775310006e-06,2.676771661820722e-06,0.000282814921797026,0.0,3.3088409104998896e-06,1.0905896361792757e-06,0.00022182513203006238,0.0
swing_pinn,0,41,5e-05,5.3258145715339996e-06,2.710873767372083e-06,0.00026149408772542347,0.0,3.1594549151729248e-06,1.0683367324620324e-06,0.0002091118173363308,0.0
swing_pinn,0,42,5e-05,5.201654114832153e-06,2.5749459105210875e-06,0.00026267081983217107,0.0,3.2468713773899558e-06,1.0491270864400171e-06,0.00021977443086345575,0.0
swing_pinn,0,43,5e-05,5.192029703255507e-06,2.6145865032914316e-06,0.00025774432855896743,0.0,3.124095933849781e-06,1.0314798449447455e-06,0.00020926160990105322,0.0
swing_pinn,0,44,5e-05,5.0890732115764945e-06,2.566682618768338e-06,0.00025223906396138596,0.0,3.0386292514271595e-06,1.0139869080679393e-06,0.00020246424052553871,0.0
swing_pinn,0,45,5e-05,4.9110949143274725e-06,2.3442556406424535e-06,0.0002566839336905992,0.0,2.9924626940353646e-06,1.0003234491604317e-06,0.00019921392635701018,0.0
swing_pinn,0,46,5e-05,4.835040033690237e-06,2.3990620187449656e-06,0.00024359780413428004,0.0,2.9870740642460683e-06,9.875107341233363e-07,0.00019995633920188993,0.0
swing_pinn,0,47,5e-05,4.5839422998652455e-06,2.2495926703236254e-06,0.0002334349690766142,0.0,2.8022191145282704e-06,9.746737595782583e-07,0.0001827545363792322,0.0
swing_pinn,0,48,5e-05,4.590718789608573e-06,2.394055081267874e-06,0.00021966637741126937,0.0,2.8982762058957533e-06,9.642508176612964e-07,0.00019340254463410625,0.0
swing_pinn,0,49,5e-05,4.512406060645689e-06,2.226912431801682e-06,0.0002285493665556537,0.0,2.8156013185151905e-06,9.54949181656654e-07,0.0001860652167427664,0.0
